               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,             0.02763,            0.015126,           0.0073413,              0.8001,             0.61578,             0.67498,             0.44483,            0.031472,            0.013049,           0.0082233,           0.0082972,           0.0082972,           0.0082972
                  88,            0.028084,             0.01519,           0.0081174,             0.84161,             0.62026,             0.68102,              0.4281,            0.031222,             0.01354,           0.0083725,           0.0082774,           0.0082774,           0.0082774
                  89,            0.028082,            0.014607,           0.0074633,             0.82412,               0.637,               0.671,             0.42814,            0.031181,            0.012884,           0.0088951,           0.0082576,           0.0082576,           0.0082576
                  90,            0.027676,            0.014919,           0.0076672,             0.78732,             0.59946,             0.65418,             0.42053,            0.031097,            0.012915,           0.0095976,           0.0082378,           0.0082378,           0.0082378
                  91,            0.027254,            0.015009,           0.0081404,              0.7685,             0.64837,             0.63767,             0.41616,            0.031275,            0.013378,             0.01074,            0.008218,            0.008218,            0.008218
                  92,            0.027421,            0.014815,           0.0085133,             0.76892,             0.62368,             0.65615,             0.40938,            0.031828,            0.013296,           0.0087195,           0.0081982,           0.0081982,           0.0081982
                  93,            0.027155,            0.014649,           0.0070994,             0.77282,             0.60635,             0.63212,             0.40539,            0.031903,            0.012863,            0.008072,           0.0081784,           0.0081784,           0.0081784
                  94,            0.028105,            0.014588,           0.0080112,             0.81049,               0.618,             0.66134,             0.41044,            0.031242,            0.013377,           0.0087856,           0.0081586,           0.0081586,           0.0081586
                  95,            0.027755,            0.015129,           0.0082107,             0.76161,             0.62156,             0.63302,             0.39658,            0.032706,            0.013256,           0.0089119,           0.0081388,           0.0081388,           0.0081388
                  96,            0.027445,            0.014307,            0.006653,             0.79469,             0.61211,             0.65243,             0.39645,            0.030417,             0.01297,           0.0091998,            0.008119,            0.008119,            0.008119
                  97,            0.027037,            0.014675,           0.0077594,              0.8405,             0.61496,             0.64888,             0.40683,            0.031345,               0.013,           0.0084664,           0.0080992,           0.0080992,           0.0080992
                  98,            0.027865,            0.014994,           0.0075132,              0.7747,             0.63619,             0.65296,             0.45097,            0.031125,            0.013466,           0.0088808,           0.0080794,           0.0080794,           0.0080794
                  99,            0.027442,            0.014355,           0.0072291,             0.82338,             0.55136,             0.65499,             0.42869,            0.030572,            0.013382,           0.0093828,           0.0080596,           0.0080596,           0.0080596
                 100,            0.027112,            0.014591,           0.0073686,             0.76373,             0.64771,             0.64862,             0.40964,             0.03084,             0.01299,            0.008484,           0.0080398,           0.0080398,           0.0080398
                 101,            0.026737,            0.014469,           0.0072725,             0.82639,             0.67339,             0.68315,             0.44052,             0.03036,            0.012894,           0.0085674,             0.00802,             0.00802,             0.00802
                 102,            0.027526,            0.014545,           0.0063763,             0.81315,             0.61564,             0.66539,             0.43689,            0.030227,            0.013257,           0.0082447,           0.0080002,           0.0080002,           0.0080002
                 103,            0.027126,            0.014456,           0.0067643,               0.735,             0.65344,             0.66621,             0.42362,            0.030564,            0.012993,           0.0086923,           0.0079804,           0.0079804,           0.0079804
                 104,            0.027723,            0.014556,           0.0075917,              0.8412,             0.60287,             0.65305,              0.4119,            0.031298,            0.013409,             0.01006,           0.0079606,           0.0079606,           0.0079606
                 105,            0.027478,            0.014247,           0.0071992,             0.80302,             0.58224,              0.6458,             0.42138,            0.031629,            0.013294,             0.01005,           0.0079408,           0.0079408,           0.0079408
                 106,            0.026835,            0.014095,           0.0071997,             0.81072,             0.62087,             0.66687,             0.42178,            0.030595,             0.01283,           0.0089296,            0.007921,            0.007921,            0.007921
                 107,            0.027279,            0.014351,           0.0071632,              0.8072,             0.59513,             0.71916,             0.46855,            0.029747,            0.013187,           0.0085255,           0.0079012,           0.0079012,           0.0079012
                 108,            0.026741,            0.014244,           0.0072357,             0.85313,             0.59081,             0.65194,             0.44792,            0.030138,             0.01312,            0.010089,           0.0078814,           0.0078814,           0.0078814
                 109,            0.026727,            0.013675,           0.0069053,              0.7295,             0.63565,             0.63598,             0.40523,            0.031111,            0.013818,           0.0095706,           0.0078616,           0.0078616,           0.0078616
                 110,            0.027144,            0.013907,           0.0064897,              0.7212,             0.66089,             0.64076,             0.39601,            0.030511,            0.013264,           0.0094581,           0.0078418,           0.0078418,           0.0078418
                 111,            0.027158,             0.01407,           0.0070147,             0.81958,             0.57749,             0.63387,             0.42064,            0.030576,            0.013362,           0.0099129,            0.007822,            0.007822,            0.007822
                 112,            0.026056,            0.014033,           0.0070855,             0.80255,             0.63569,             0.66127,             0.44243,            0.029999,            0.012849,           0.0082763,           0.0078022,           0.0078022,           0.0078022
